Greyscale Image
61, 85, 2
69, 8, 21
39, 55, 125
46, 37, 92
38, 91, 174
46, 82, 30
36, 57, 113
6, 65, 23
43, 36, 92
62, 28, 215
26, 3, 38
40, 73, 121
35, 55, 110
29, 13, 188
12, 5, 12
28, 20, 234
34, 96, 110
74, 64, 57
34, 43, 72
13, 4, 10
31, 68, 85
44, 34, 116
64, 13, 21
70, 61, 57
9, 19, 39
29, 68, 87
58, 43, 132
9, 79, 159
35, 85, 86
17, 29, 84
42, 75, 12
30, 16, 229
55, 64, 101
23, 56, 24
60, 75, 61
16, 25, 175
23, 29, 44
18, 85, 99
38, 17, 208
33, 13, 206
14, 71, 113
7, 15, 0
69, 13, 60
75, 42, 59
6, 51, 182
56, 47, 122
26, 89, 22
72, 24, 133
64, 1, 50
3, 29, 1
35, 24, 187
47, 37, 77
51, 96, 11
31, 7, 202
63, 5, 4
32, 59, 100
5, 19, 40
53, 24, 169
9, 13, 3
74, 31, 146
35, 84, 88
43, 5, 33
60, 38, 144
20, 94, 61
33, 57, 110
16, 4, 0
71, 78, 74
45, 70, 136
46, 72, 124
27, 78, 148
1, 88, 80
53, 63, 105
54, 5, 4
56, 11, 55
5, 63, 120
65, 28, 130
56, 60, 97
12, 83, 196
68, 43, 72
47, 86, 71
32, 62, 112
4, 43, 43
32, 29, 169
71, 14, 71
31, 72, 161
15, 17, 221
37, 31, 116
38, 6, 11
34, 19, 204
69, 47, 89
36, 85, 127
10, 21, 31
4, 24, 3
58, 9, 1
67, 71, 103
45, 54, 97
27, 56, 3
33, 21, 197
37, 83, 95
17, 49, 92
48, 58, 104
4, 84, 18
34, 56, 112
43, 100, 141
21, 33, 151
16, 35, 149
9, 40, 84
11, 71, 122
35, 47, 97
9, 76, 99
70, 50, 123
21, 17, 216
44, 33, 115
38, 41, 64
31, 85, 82
74, 12, 42
47, 73, 116
32, 96, 107
41, 74, 132
64, 72, 146
66, 92, 14
70, 86, 31
26, 13, 176
65, 75, 119
71, 70, 11
70, 99, 0
17, 94, 62
40, 85, 118
8, 14, 1
2, 67, 130
36, 89, 109
3, 70, 116
29, 32, 157
62, 67, 61
49, 78, 20
23, 10, 212
75, 83, 0
65, 59, 33
48, 59, 95
55, 24, 166
54, 40, 131
61, 95, 15
12, 7, 7
1, 2, 11
28, 21, 251
75, 29, 32
53, 66, 72
20, 41, 101
33, 55, 106
67, 33, 114
21, 39, 65
73, 58, 41
13, 27, 28
5, 58, 137
10, 75, 75
18, 99, 82
16, 9, 86
63, 62, 90
72, 90, 1
28, 52, 58
13, 42, 150
14, 73, 133
2, 72, 68
31, 60, 108
4, 96, 135
53, 69, 69
1, 6, 2
64, 17, 33
30, 24, 228
43, 19, 202
1, 87, 39
40, 97, 133
2, 84, 80
14, 65, 73
21, 74, 88
16, 31, 167
64, 24, 200
45, 44, 89
32, 53, 93
71, 4, 62
46, 14, 216
34, 68, 113
52, 59, 90
2, 51, 155
71, 32, 189
50, 14, 202
5, 30, 1
54, 78, 33
63, 23, 229
75, 87, 27
70, 11, 26
16, 6, 0
5, 74, 99
47, 18, 203
58, 4, 84
47, 23, 173
20, 79, 197
9, 65, 127
5, 7, 8
59, 93, 50
30, 48, 40
68, 17, 116
14, 52, 128
4, 89, 208
72, 55, 147
35, 49, 103
66, 71, 150
56, 41, 139
49, 52, 102
63, 21, 195
19, 50, 86
61, 67, 44
17, 92, 62
46, 56, 113
30, 53, 61
10, 90, 144
41, 24, 183
34, 57, 112
7, 93, 146
55, 36, 95
20, 73, 113
56, 20, 156
11, 36, 116
17, 1, 12
74, 60, 88
8, 75, 72
32, 91, 84
44, 42, 86
6, 64, 43
74, 45, 76
60, 64, 4
60, 35, 139
34, 59, 118
24, 90, 50
40, 53, 118
42, 80, 36
68, 49, 143
37, 9, 240
63, 77, 22
69, 28, 195
33, 44, 50
8, 49, 122
11, 19, 11
66, 83, 123
57, 60, 101
2, 81, 50
73, 94, 19
37, 62, 101
13, 83, 209
23, 95, 46
14, 78, 90
40, 99, 138
34, 13, 208
32, 34, 119
49, 20, 143
25, 96, 69
71, 10, 16
60, 20, 246
27, 29, 102
65, 23, 200
3, 95, 131
33, 8, 244
8, 44, 133
71, 76, 139
31, 91, 95
49, 68, 73
22, 42, 85
64, 31, 165
30, 95, 135
34, 50, 92
70, 30, 207
13, 33, 218
1, 36, 150
58, 38, 142
50, 86, 17
5, 21, 27
28, 35, 41
30, 31, 157
18, 60, 125
43, 49, 104
28, 92, 139
48, 67, 35
33, 42, 52
12, 78, 52
42, 65, 97
30, 75, 149
1, 61, 121
34, 18, 209
10, 33, 16
52, 71, 137
31, 97, 114
22, 71, 91
1, 74, 80
64, 11, 13
4, 25, 1
45, 22, 147
51, 79, 10
73, 41, 147
37, 69, 105
28, 40, 73
2, 7, 10
35, 93, 64
42, 44, 91
2, 64, 44
42, 21, 180
36, 97, 110
31, 83, 84
70, 56, 125
33, 72, 185
60, 84, 12
6, 69, 212
62, 85, 3
9, 67, 118
53, 96, 28
52, 56, 99
10, 63, 134
54, 79, 34
67, 66, 73
22, 27, 105
36, 15, 217
72, 16, 146
6, 81, 9
62, 21, 196
21, 82, 149
31, 80, 98
3, 49, 109
61, 96, 9
41, 19, 178
44, 40, 78
57, 50, 121
49, 82, 40
16, 21, 224
30, 67, 81
37, 45, 71
41, 53, 122
73, 8, 17
40, 50, 107
4, 51, 118
61, 50, 128
26, 60, 0
6, 52, 156
25, 12, 173
44, 24, 159
46, 27, 190
43, 11, 223
75, 94, 6
50, 33, 153
56, 89, 0
55, 2, 11
31, 14, 168
29, 57, 60
11, 59, 152
58, 24, 223
47, 60, 105
70, 20, 41
61, 68, 35
61, 38, 141
4, 41, 140
43, 78, 32
44, 30, 126
45, 10, 233
42, 86, 140
51, 89, 27
64, 15, 43
72, 13, 42
62, 33, 158
22, 35, 107
